Ordered By Time In (ms)

Method Name                                                     Calls       Time In   Time In Avg      Time Tot  Time Tot Avg      Calls In  Calls In Avg     Calls Tot Calls Tot Avg
API精灵.DataSet1.winapiRowChangeEvent.get_Row                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow.set_Id                                     0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow.SetFun_dllNull                             0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.RemovewinapiRow                      0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow.get_Fun_dll                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRowChangeEvent.get_Action                      0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow.set_Fun_dll                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.OnRowDeleting                        0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow..ctor                                      0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.Clone                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.GetEnumerator                        0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.NewwinapiRow                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.OnRowDeleted                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.OnRowChanging                        0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.CreateInstance                       0             0             0             0             0             0             0             0             0
API精灵.DataSet1.ShouldSerializeTables                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.ReadXmlSerializable                                  0             0             0             0             0             0             0             0             0
API精灵.DataSet1.ShouldSerializeRelations                             0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.InitClass                            0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.InitVars                             0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.add_winapiRowDeleted                 0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.remove_winapiRowDeleted              0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.remove_winapiRowChanging             0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.add_winapiRowDeleting                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.AddwinapiRow                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.AddwinapiRow                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.NewRowFromBuilder                    0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.OnRowChanged                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.GetRowType                           0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.remove_winapiRowDeleting             0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.FindById                             0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.get_Fun_dllColumn                    0             0             0             0             0             0             0             0             0
API精灵.DataSet1.SchemaChanged                                        0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.remove_winapiRowChanged              0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.add_winapiRowChanged                 0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.add_winapiRowChanging                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.ShouldSerializewinapi                                0             0             0             0             0             0             0             0             0
API精灵.Form1.richTextBox1_MouseEnter                                 0             0             0             0             0             0             0             0             0
API精灵.Form1.dlltext_TextChanged                                     4             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable..ctor                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable..ctor                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.get_Count                            0             0             0             0             0             0             0             0             0
API精灵.AboutForm.timer1_Tick                                         1             0             0             0             0             0             0             0             0
API精灵.Form1.menuItem2_Click                                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.Clone                                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.InitVars                                             0             0             0             0             0             0             0             0             0
API精灵.DataSet1.GetSchemaSerializable                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1..ctor                                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.get_Item                             0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.get_IdColumn                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.InitClass                                            0             0             0             0             0             0             0             0             0
API精灵.DataSet1.get_winapi                                           0             0             0             0             0             0             0             0             0
API精灵.DataSet1..ctor                                                0             0             0             0             0             0             0             0             0

Ordered By Time Tot (ms)

Method Name                                                     Calls       Time In   Time In Avg      Time Tot  Time Tot Avg      Calls In  Calls In Avg     Calls Tot Calls Tot Avg
API精灵.Form1..ctor                                                   1            22            22           250           250             1             1             1             1
